Method,Signature,Description,Parameter Values
DefaultHandler,void AIFunction_DefaultHandler(),Handles default AI behavior.,
GetAlarmAccess,int AIFunction_GetAlarmAccess(),Gets the access level for an alarm system.,
GetAlarmControlStatus,int AIFunction_GetAlarmControlStatus(),Gets the current status of the alarm control system.,
GetAlarmTriggerDistance,int AIFunction_GetAlarmTriggerDistance(),Gets the trigger distance for alarm activation.,
GetAlarmTriggerID,int AIFunction_GetAlarmTriggerID(),Gets the ID of the alarm trigger.,
GetCurrentEventType,int AIFunction_GetCurrentEventType(),Gets the current AI event type.,"AIEVENT_ENEMYDETECTION, AIEVENT_GRENADETHROWN, AIEVENT_ALERT, AIEVENT_DEAD, AIEVENT_GROUNDIMPACT, AIEVENT_FLASHBANG, AIEVENT_GRENADELAND, AIEVENT_DOOR, AIEVENT_FENCE, AIEVENT_EXPLOSION, AIEVENT_ALARMON, AIEVENT_ALARMOFF, AIEVENT_GUNSHOTMISS, AIEVENT_FRIENDLYDETECTION, AIEVENT_IDLE, AIEVENT_COMBAT, AIEVENT_CREATE, AIEVENT_ANIMATION, AIEVENT_LADDER, AIEVENT_WALK, AIEVENT_GUNSHOT, AIEVENT_TAKINGDAMAGE"
GetEventDistance,int AIFunction_GetEventDistance(),Gets the distance to the current AI event.,
GetGunnerID,int AIFunction_GetGunnerID(),Gets the ID of the AI gunner.,
GetGunnerStatus,int AIFunction_GetGunnerStatus(),Gets the status of the AI gunner.,
GetRandomValue,float AIFunction_GetRandomValue(int),Generates a random value based on the provided seed.,
GetScriptIntegerValue,int AIFunction_GetScriptIntegerValue(int),Gets an integer value from the AI script based on the provided index.,
GetScriptRealValue,float AIFunction_GetScriptRealValue(int),Gets a real (floating-point) value from the AI script based on the provided index.,
IsEventBehind,void AIFunction_IsEventBehind(),Checks if the current AI event is behind the AI character's perspective.,
RemoveAlarmActions,void AIFunction_RemoveAlarmActions(),Removes all actions associated with the alarm system.,
SendResponse,void AIFunction_SendResponse(),Sends a response to the current AI event.,
SetAlarmAccess,void AIFunction_SetAlarmAccess(int),Sets the access level for the alarm system.,"AIALARMACCESS_AFTERCOMBAT, AIALARMACCESS_BEFORECOMBAT"
SetAlarmControlID,void AIFunction_SetAlarmControlID(int),Sets the ID of the alarm control system.,
SetAlarmTriggerID,void AIFunction_SetAlarmTriggerID(int),Sets the ID of the alarm trigger.,
SetAlarmViewLength,void AIFunction_SetAlarmViewLength(int),Sets the view length for alarm activation.,
SetDeathAnimation,void AIFunction_SetDeathAnimation(int),Sets the death animation for the AI character.,
SetEventPriority,void AIFunction_SetEventPriority(int),Sets the priority for handling AI events.,"AIEVENT_ENEMYDETECTION, AIEVENT_IDLE, AIEVENT_COMBAT, AIEVENT_GRENADETHROWN, AIEVENT_ALERT, AIEVENT_ANIMATION, AIEVENT_CREATE, AIEVENT_DEAD, AIEVENT_GROUNDIMPACT, AIEVENT_FLASHBANG, AIEVENT_GRENADELAND, AIEVENT_DOOR, AIEVENT_FENCE, AIEVENT_GUNSHOT, AIEVENT_WALK, AIEVENT_EXPLOSION, AIEVENT_ALARMON, AIEVENT_ALARMOFF, AIEVENT_GUNSHOTMISS, AIEVENT_TAKINGDAMAGE"
SetGunnerID,void AIFunction_SetGunnerID(int),Sets the ID of the AI gunner.,
SetInstantDeath,void AIFunction_SetInstantDeath(bool),Enables or disables instant death behavior for the AI character.,
SetInvulnerability,void AIFunction_SetInvulnerability(bool),Makes the AI character invulnerable or vulnerable to damage.,
SetScriptIntegerValue,"void AIFunction_SetScriptIntegerValue(int,int)",Sets an integer value in the AI script based on the provided index.,
SetScriptRealValue,"void AIFunction_SetScriptRealValue(int,int)",Sets a real value in the AI script based on the provided index.,
SetViewAlpha,void AIFunction_SetViewAlpha(int),Sets the alpha value for the AI character's view.,
SetViewGamma,void AIFunction_SetViewGamma(int),Sets the gamma value for the AI character's view.,
SetViewLength,void AIFunction_SetViewLength(int),Sets the view length for the AI character.,
GetAnimationToPlay,void AIFunction_GetAnimationToPlay(),Gets the animation to play based on the current AI context.,
